,district,price,address,AdUpdateDate,Category,GrossSquareMeters,BuildingAge,NumberFloorsofBuilding,UsingStatus,EligibilityForInvestment,BuildStatus,TitleStatus,ItemStatus,NumberOfBathrooms,NumberOfWCs,AdCreationDate,Type,NetSquareMeters,NumberOfRooms,FloorLocation,HeatingType,CreditEligibility,InsideTheSite,StructureType,MortgageStatus,Swap,Balcony,PriceStatus,RentalIncome,NumberOfBalconies,BalconyType,HallSquareMeters,WCSquareMeters,IsItVideoNavigable?,Subscription,BathroomSquareMeters,BalconySquareMeters
15,adalar,"2,915,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Adalar Satılık Müstakil Ev', 'Heybeliada Mahallesi Satılık Müstakil Ev']",26 Aralık 2021,Satılık,130 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Eşyalı,2,2,10 Kasım 2021,Konut,110 m2,2+1,Müstakil,Kat Kaloriferi,Krediye Uygun,Hayır,Betonarme,,Yok,Var,Genel Fiyat,,,,,,,,,
16,adalar,"885,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Adalar Satılık Daire', 'Heybeliada Mahallesi Satılık Daire']",18 Kasım 2021,Satılık,75 m2,21 Ve Üzeri,3,Boş,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Eşyalı,1,1,10 Kasım 2021,Konut,60 m2,1+1,Bahçe Katı,Kat Kaloriferi,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,,,,,,,,,
17,adalar,"9,500,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Adalar Satılık Bina', 'Maden Mahallesi Satılık Bina']",29 Ekim 2021,Satılık,550 m2,11-15,3,Boş,Bilinmiyor,İkinci El,,,4,,29 Ekim 2021,Konut,540 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,Betonarme,,Yok,,Genel Fiyat,,,,,,,,,
18,adalar,"2,600,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Adalar Satılık Müstakil Ev', 'Maden Mahallesi Satılık Müstakil Ev']",20 Ekim 2021,Satılık,250 m2,21 Ve Üzeri,2,Kiracı Oturuyor,Bilinmiyor,,Yok,Boş,3,,19 Ekim 2021,Konut,230 m2,5+3,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
19,adalar,"3,100,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Adalar Satılık Bina', 'Maden Mahallesi Satılık Bina']",20 Ekim 2021,Satılık,250 m2,21 Ve Üzeri,3,Boş,Bilinmiyor,,Yok,,Yok,,19 Ekim 2021,Konut,249 m2,1 Oda,Düz Giriş,Isıtma Yok,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
20,adalar,"4,200,000TL","['Anasayfa', 'Satılık Villa', 'İstanbul Satılık Villa', 'Adalar Satılık Villa', 'Maden Mahallesi Satılık Villa']",24 Eylül 2021,Satılık,682 m2,21 Ve Üzeri,2,Boş,,İkinci El,,,3,4,24 Eylül 2021,Konut,150 m2,6+1,Müstakil,Isıtma Yok,Krediye Uygun,Hayır,Betonarme,,Var,Var,Genel Fiyat,,4 +,,,,,,,
21,adalar,"4,200,000TL","['Anasayfa', 'Satılık Köşk', 'İstanbul Satılık Köşk', 'Adalar Satılık Köşk', 'Maden Mahallesi Satılık Köşk']",24 Eylül 2021,Satılık,682 m2,21 Ve Üzeri,2,Boş,Yatırıma Uygun,İkinci El,,,4,4,24 Eylül 2021,Konut,150 m2,6+1,Müstakil,Isıtma Yok,Krediye Uygun,Hayır,Ahşap,,,Var,Genel Fiyat,,,,,,,,,
22,adalar,"9,000,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Adalar Satılık Bina', 'Maden Mahallesi Satılık Bina']",29 Eylül 2021,Satılık,550 m2,11-15,3,Boş,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Boş,1,,17 Eylül 2021,Konut,530 m2,4+2,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,,,Genel Fiyat,,,,,,,,,
23,adalar,"9,000,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Adalar Satılık Bina', 'Maden Mahallesi Satılık Bina']",01 Ekim 2021,Satılık,550 m2,11-15,2,Boş,Bilinmiyor,,Yok,,Yok,,20 Ağustos 2021,Konut,549 m2,1 Oda,Düz Giriş,Isıtma Yok,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
24,adalar,"21,000,000TL","['Anasayfa', 'Satılık Villa', 'İstanbul Satılık Villa', 'Adalar Satılık Villa', 'Maden Mahallesi Satılık Villa']",09 Şubat 2022,Satılık,2.250 m2,21 Ve Üzeri,3,Boş,Bilinmiyor,,,Boş,4,,22 Temmuz 2021,Konut,2.000 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
25,adalar,"3,250,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Adalar Satılık Daire', 'Maden Mahallesi Satılık Daire']",27 Şubat 2022,Satılık,180 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,İkinci El,,,1,,11 Temmuz 2021,Konut,170 m2,3+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,,,Genel Fiyat,4.500 TL,,,,,,,,
26,arnavutkoy,"515,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",02 Mart 2022,Satılık,100 m2,2,4,Kiracı Oturuyor,Yatırıma Uygun,,,,1,,25 Şubat 2022,Konut,90 m2,2+1,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,Yok,Genel Fiyat,,,,,,,,,
27,arnavutkoy,"1,000,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Arnavutköy Merkez Mahallesi Satılık Daire']",01 Mart 2022,Satılık,200 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,Kat İrtifakı,,2,2,23 Şubat 2022,Konut,180 m2,4+2,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Var,Var,Genel Fiyat,,1,Açık Teras,,,,,,
28,arnavutkoy,"506,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",24 Şubat 2022,Satılık,100 m2,5-10,5,Boş,Yatırıma Uygun,İkinci El,Kat İrtifakı,,2,,23 Şubat 2022,Konut,90 m2,2+1,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,,Genel Fiyat,,,,,,,,,
29,arnavutkoy,"660,000TLarrow_downward%3","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",24 Şubat 2022,Satılık,90 m2,5-10,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,03 Şubat 2022,Konut,80 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
30,arnavutkoy,"1,250,000TLarrow_downward%90","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",01 Mart 2022,Satılık,260 m2,0 (Yeni),5,Boş,Yatırıma Uygun,,Kat İrtifakı,,2,,04 Ocak 2022,Konut,250 m2,5+2,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,Var,Genel Fiyat,,,,,,,,,
31,arnavutkoy,"420,000TLarrow_downward%90","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",02 Mart 2022,Satılık,100 m2,0 (Yeni),5,Boş,Yatırıma Uygun,,,,1,,04 Ocak 2022,Konut,90 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,,,,,,,,,
32,arnavutkoy,"765,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'İslambey Mahallesi Satılık Daire']",28 Şubat 2022,Satılık,180 m2,0 (Yeni),2,Boş,Bilinmiyor,,,Boş,2,,02 Ocak 2022,Konut,165 m2,4+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
33,arnavutkoy,"765,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'İslambey Mahallesi Satılık Daire']",28 Şubat 2022,Satılık,180 m2,0 (Yeni),2,Boş,Bilinmiyor,,,Boş,2,,02 Ocak 2022,Konut,165 m2,4+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
34,arnavutkoy,"480,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",01 Mart 2022,Satılık,85 m2,3,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,01 Mart 2022,Konut,70 m2,1+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
35,arnavutkoy,"715,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",01 Mart 2022,Satılık,105 m2,4,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,01 Mart 2022,Konut,100 m2,2+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
36,arnavutkoy,"850,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Boğazköy İstiklal Mahallesi Satılık Daire']",02 Mart 2022,Satılık,160 m2,0 (Yeni),5,Boş,,,,,1,,01 Mart 2022,Konut,150 m2,3+2,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,3.500 TL,,,,,,,,
37,arnavutkoy,"1,150,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'İslambey Mahallesi Satılık Daire']",28 Şubat 2022,Satılık,225 m2,5-10,5,Mülk Sahibi Oturuyor,,,,,2,,28 Şubat 2022,Konut,200 m2,4+2,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,,,,,,,,,
38,arnavutkoy,"660,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Hastane Mahallesi Satılık Daire']",01 Mart 2022,Satılık,105 m2,5-10,5,Boş,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Boş,1,1,01 Mart 2022,Konut,95 m2,2+1,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Var,Var,Genel Fiyat,2.500 TL,1,Açık Balkon,20 m2,2 m2,Evet,50 TL,4 m2,3 m2
39,arnavutkoy,"4,000,000TL","['Anasayfa', 'Satılık Villa', 'İstanbul Satılık Villa', 'Arnavutköy Satılık Villa', 'Boğazköy İstiklal Mahallesi Satılık Villa']",28 Şubat 2022,Satılık,350 m2,16-20,4,Kiracı Oturuyor,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Boş,3,4,28 Şubat 2022,Konut,300 m2,4+2,Villa Tipi,Kombi Doğalgaz,Krediye Uygun,Evet,,,,Var,Genel Fiyat,,3,Açık Balkon,,,Hayır,,,
40,arnavutkoy,"740,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Arnavutköy Merkez Mahallesi Satılık Daire']",28 Şubat 2022,Satılık,100 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,28 Şubat 2022,Konut,85 m2,2+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
41,arnavutkoy,"625,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Taşoluk Mahallesi Satılık Daire']",28 Şubat 2022,Satılık,100 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,28 Şubat 2022,Konut,90 m2,2+1,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
42,arnavutkoy,"800,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Boğazköy İstiklal Mahallesi Satılık Daire']",02 Mart 2022,Satılık,160 m2,0 (Yeni),5,Boş,,,,,1,,28 Şubat 2022,Konut,150 m2,3+2,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,3.500 TL,,,,,,,,
43,arnavutkoy,"590,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Boğazköy İstiklal Mahallesi Satılık Daire']",02 Mart 2022,Satılık,95 m2,0 (Yeni),5,Boş,,,,,1,,28 Şubat 2022,Konut,85 m2,2+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,2.000 TL,,,,,,,,
44,arnavutkoy,"650,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Boğazköy İstiklal Mahallesi Satılık Daire']",02 Mart 2022,Satılık,95 m2,0 (Yeni),4,Boş,,,,,1,,28 Şubat 2022,Konut,85 m2,2+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,2.000 TL,,,,,,,,
45,arnavutkoy,"850,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Arnavutköy Merkez Mahallesi Satılık Daire']",27 Şubat 2022,Satılık,90 m2,5-10,6,Mülk Sahibi Oturuyor,,,,,1,,27 Şubat 2022,Konut,1 m2,2+1,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,,,,,,,,,
46,arnavutkoy,"1,150,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Arnavutköy Satılık Müstakil Ev', 'Durusu Mahallesi Satılık Müstakil Ev']",28 Şubat 2022,Satılık,350 m2,11-15,1,Kiracı Oturuyor,Yatırıma Uygun,İkinci El,Arsa,Boş,1,2,28 Şubat 2022,Konut,300 m2,2+1,Müstakil,Kombi Doğalgaz,Bilinmiyor,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,5.000 TL,,,,,Hayır,,,
47,arnavutkoy,"5,800,000TL","['Anasayfa', 'Satılık Villa', 'İstanbul Satılık Villa', 'Arnavutköy Satılık Villa', 'Boğazköy İstiklal Mahallesi Satılık Villa']",27 Şubat 2022,Satılık,330 m2,11-15,3,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,3,,27 Şubat 2022,Konut,310 m2,5+2,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
48,arnavutkoy,"420,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'İslambey Mahallesi Satılık Daire']",26 Şubat 2022,Satılık,100 m2,0 (Yeni),4,Boş,,,,,1,,26 Şubat 2022,Konut,90 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,,,,,,,,,
49,arnavutkoy,"735,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Bolluca Mahallesi Satılık Daire']",26 Şubat 2022,Satılık,100 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,2,,26 Şubat 2022,Konut,95 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
50,arnavutkoy,"1,150,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",25 Şubat 2022,Satılık,220 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,2,,25 Şubat 2022,Konut,195 m2,4+2,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
51,arnavutkoy,"1,000,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",26 Şubat 2022,Satılık,190 m2,3,5,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,26 Şubat 2022,Konut,160 m2,4+2,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
52,arnavutkoy,"720,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",02 Mart 2022,Satılık,100 m2,0 (Yeni),5,Boş,Yatırıma Uygun,,,,1,,27 Şubat 2022,Konut,95 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,2.600 TL,,,,,,,,
53,arnavutkoy,"570,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",03 Mart 2022,Satılık,85 m2,5-10,4,Boş,,,,,1,,25 Şubat 2022,Konut,70 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,Var,Genel Fiyat,2.000 TL,,,,,,,,
54,arnavutkoy,"1,250,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Taşoluk Mahallesi Satılık Daire']",01 Mart 2022,Satılık,260 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,2,,01 Mart 2022,Konut,250 m2,6+2,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
55,arnavutkoy,"870,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'İslambey Mahallesi Satılık Daire']",28 Şubat 2022,Satılık,170 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,28 Şubat 2022,Konut,150 m2,3+2,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
56,arnavutkoy,"675,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Arnavutköy Satılık Daire', 'Anadolu Mahallesi Satılık Daire']",02 Mart 2022,Satılık,95 m2,1,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,28 Şubat 2022,Konut,84 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
